SNR,NoE,NoB,BER
0,142,1000,0.142
1,116,1000,0.116
2,91,1000,0.091
3,543,10000,0.0543
4,361,10000,0.0361
5,222,10000,0.0222
6,113,10000,0.0113
7,557,100000,0.00557
8,243,100000,0.00243
9,95,100000,0.00095
10,419,1000000,0.000419
11,214,1000000,0.000214
12,246,2000000,0.000123
13,272,3000000,9.066666666666667e-05
14,221,3000000,7.366666666666666e-05
15,238,4000000,5.95e-05
16,220,4000000,5.5e-05
17,211,4000000,5.275e-05
18,198,4000000,4.95e-05
19,193,4000000,4.825e-05
20,189,4000000,4.725e-05
