SNR,NoE,NoB,BER
0,90,1000,0.09
1,59,1000,0.059
2,35,1000,0.035
3,216,10000,0.0216
4,115,10000,0.0115
5,52,10000,0.0052
6,21,10000,0.0021
7,82,100000,0.00082
8,17,100000,0.00017
9,3,100000,3e-05
10,5,1000000,5e-06
11,2,1000000,2e-06
12,0,2000000,0.0
