SNR,NoE,NoB,BER
0,77,1000,0.077
1,60,1000,0.06
2,44,1000,0.044
3,244,10000,0.0244
4,132,10000,0.0132
5,67,10000,0.0067
6,28,10000,0.0028
7,93,100000,0.00093
8,26,100000,0.00026
9,4,100000,4e-05
10,7,1000000,7e-06
11,0,1000000,0.0
